gene	A01	A03	A06	A07	A08	D36_SCC	D39_SCC	D42_SCC	D44_SCC	E57_SCC	
Plekhg2	125	64	255	94	35	44	148	112	61	43	
Plekhg3	93	27	224	165	82	223	346	118	61	292	
Plekhg1	133	98	219	186	68	126	304	93	62	180	
Plekhg6	2	4	5	0	0	17	184	82	51	120	
4930592I03Rik	0	0	4	20	1	6	1	21	12	1	
Plekhg4	0	0	2	1	0	8	19	27	21	3	
Plekhg5	89	4	225	64	27	17	95	60	24	17	
Nsa2	293	68	762	135	21	67	553	139	88	311	
Nampt	185	48	482	113	51	60	180	71	24	118	
Vmo1	0	1	0	0	0	8	0	3	5	0	
Ndc1	18	6	26	0	5	20	24	14	11	21	
F930015N05Rik	0	10	43	3	10	22	23	50	22	13	
4931406P16Rik	455	179	997	332	78	79	407	109	37	95	
Vwf	1208	754	2552	1352	620	116	490	142	102	128	
Mier1	506	144	1172	319	223	224	524	82	45	230	
Mier2	6	28	1	8	6	44	48	27	10	9	
Mier3	163	48	410	178	50	56	144	40	21	77	
Aqp11	0	0	0	6	1	3	2	12	9	0	
Aqp12	1	7	0	0	0	2	20	4	13	1	
1810010H24Rik	56	28	99	43	53	3	17	16	16	0	
Tubal3	1	1	0	0	1	23	1	16	8	4	
Dag1	1080	832	2995	1154	814	136	1229	198	112	528	
Myadm	904	335	1641	679	275	83	523	83	40	410	
Gm15008	0	0	0	0	0	2	0	2	1	1	
Sacs	4	30	80	1	13	29	5	45	12	32	
Zfp712	6	0	55	11	0	4	14	11	7	3	
Zfp710	116	72	381	110	43	45	169	100	62	121	
Zfp711	0	5	29	0	0	17	7	24	3	39	
Zfp715	99	17	180	84	29	6	107	32	13	113	
Mllt4	503	315	2892	704	235	194	1127	276	116	748	
Mllt6	558	255	1012	526	248	109	699	150	98	190	
Zfp719	44	48	103	43	63	13	160	46	15	13	
Mllt1	98	52	213	59	71	22	148	51	29	122	
Mllt3	125	33	257	160	31	48	202	70	63	98	
Btg4	0	0	3	1	0	5	0	11	1	0	
Btg3	27	7	52	2	1	0	3	0	0	71	
Btg2	373	194	944	177	83	80	778	120	80	147	
Btg1	580	100	1098	354	248	265	1118	128	64	524	
Smok3a	0	0	0	2	0	17	1	20	6	32	
Smok3b	0	0	0	0	0	0	0	1	0	0	
Nupl1	75	18	82	13	34	8	84	28	9	37	
Nupl2	25	4	35	0	1	11	51	40	34	7	
Hoxd3os1	0	0	0	0	0	3	4	9	4	1	
Ttc30a2	0	0	0	0	0	0	0	8	0	0	
Npat	25	22	300	68	10	16	41	50	31	36	
Ttc30a1	3	0	0	0	25	11	5	21	11	4	
Gga1	95	54	165	83	52	43	222	59	30	88	
Gga3	141	44	232	148	31	74	138	57	35	53	
1700018C11Rik	0	0	0	0	0	0	0	5	8	0	
Sorbs1	232	93	861	237	108	43	113	95	48	83	
Sorbs3	390	318	1174	292	281	57	245	103	52	87	
Sorbs2	65	44	164	93	16	41	566	110	80	893	
Tshz2	22	65	72	56	20	37	389	132	78	41	
Tshz3	25	17	154	38	54	34	60	80	51	33	
Murc	14	8	0	0	0	4	103	30	25	143	
Speer4d	0	0	0	0	0	2	0	14	6	0	
Speer4e	0	0	0	0	0	1	0	15	6	1	
Speer4a	0	2	4	0	0	7	1	10	4	1	
